,0
0,3.830718
1,3.8007283
2,3.89062
3,3.8828907
4,3.9269035
5,3.8173068
6,3.7538733
7,3.8450143
8,3.8595245
9,3.8324332
10,3.9365866
11,3.9172978
12,3.7759566
13,3.8847444
14,3.7319412
15,3.9017496
16,3.8688767
17,3.8511655
18,3.848684
19,3.8886268
20,3.8529425
21,3.85236
22,3.8691096
23,3.907134
24,3.8499765
25,3.8461084
26,3.8515136
27,3.8452692
28,3.8253338
29,3.8463845
30,3.919812
31,3.8571007
32,3.8317487
33,3.8804357
34,3.8919675
35,3.8823383
36,3.852482
37,3.9095595
38,3.8306386
39,3.9244454
40,3.9271588
41,3.8937116
42,3.8564003
43,3.9318886
44,3.811278
45,3.8317142
46,3.8491447
47,3.806802
48,3.8371675
49,3.9486992
50,3.8921013
51,3.7814271
52,3.8773336
53,3.9266195
54,3.8760498
55,3.8848407
56,3.844899
57,3.8815842
58,3.8277836
59,3.7744966
60,3.8677595
61,3.8324764
62,3.752163
63,3.7919683
64,3.8939414
65,3.9084039
66,3.9898887
67,3.835057
68,3.861154
69,3.9050305
70,3.8450248
71,3.9166906
72,3.962204
73,3.938122
74,3.9247684
75,3.8826196
76,3.8097095
77,3.917389
78,3.8203545
79,3.9693599
80,3.9164371
81,3.994531
82,3.8583064
83,3.8659458
84,3.8092847
85,3.8234372
86,3.8021967
87,3.9064724
88,3.8934753
89,3.8506246
90,3.8819818
91,3.9530215
92,3.8604922
93,3.8017287
94,3.9418654
95,3.8629076
96,3.9117286
97,3.8305879
98,3.8539863
99,3.8276544
100,3.8230963
101,3.7856498
102,3.9351952
103,3.8564882
104,3.8748865
105,3.9037318
106,3.8669708
107,3.7882102
108,3.8812273
109,3.9231577
110,3.9344053
111,3.8670397
112,3.8105226
113,3.8300714
114,3.8308764
115,3.7648463
116,3.8373299
117,3.8979743
118,3.901335
119,3.8215322
120,3.9548452
121,3.882169
122,3.8907452
123,3.878681
124,3.7878072
125,3.8772945
126,3.8664677
127,3.843674
128,3.9597814
129,3.8181531
130,3.790716
131,3.7822242
132,3.9270492
133,3.9018664
134,3.7950401
135,3.8218713
136,3.8930135
137,3.8959107
138,3.8788853
139,3.9047153
140,3.8469002
141,3.9648511
142,3.8618903
143,3.8514318
144,3.8689218
145,3.845127
146,3.7904646
147,3.8499615
148,3.829706
149,3.858188
150,3.843457
151,3.9198284
152,3.8776097
153,3.9444633
154,3.8889823
155,3.9338415
156,3.8904765
157,3.9322512
158,3.9268036
159,3.8884535
160,3.899818
161,3.8535714
162,3.8297179
163,3.9185958
164,3.9053643
165,3.8573544
166,3.8224895
167,3.9491634
168,3.7962239
169,3.8088636
170,3.8585193
171,3.879407
172,3.8701031
173,3.8825767
174,3.882381
175,3.867015
176,3.8154418
177,3.8863442
178,3.8496788
179,3.8621905
180,3.8060753
181,3.9236479
182,3.9234977
183,3.8620994
184,3.9232152
185,3.7980695
186,3.9130518
187,3.831491
188,3.8729575
189,3.8662949
190,3.9680517
191,3.7709544
192,3.749539
193,3.849293
194,3.8682516
195,3.8403926
196,3.884277
197,3.7981904
198,3.8627145
199,3.8843372
