,0
0,3.8378518
1,3.8859572
2,3.929735
3,3.9005122
4,3.8933148
5,3.8602216
6,3.8531737
7,3.8188598
8,3.8475313
9,3.848054
10,3.8506148
11,3.8214746
12,3.8964093
13,3.814488
14,3.8577554
15,3.8692691
16,3.8913937
17,3.798733
18,3.815882
19,3.8792276
20,3.7865953
21,3.8112357
22,3.8951502
23,3.796223
24,3.7819285
25,3.8701165
26,3.9038355
27,3.8156648
28,3.8639765
29,3.8588662
30,3.8543718
31,3.854916
32,3.8849032
33,3.8539789
34,3.8027554
35,3.782643
36,3.8270404
37,3.8463914
38,3.7673686
39,3.918376
40,3.8433733
41,3.8177943
42,3.9093163
43,3.7922459
44,3.8215585
45,3.8749564
46,3.8818114
47,3.9434645
48,3.76207
49,3.8837645
50,3.826191
51,3.806522
52,3.8740351
53,3.7865767
54,3.8765523
55,3.824759
56,3.8309643
57,3.8702044
58,3.767253
59,3.8840985
60,3.8593545
61,3.8534853
62,3.844868
63,3.8334486
64,3.8627372
65,3.9013815
66,3.8032746
67,3.874906
68,3.8587573
69,3.8318284
70,3.899786
71,3.750466
72,3.8751984
73,3.9190407
74,3.8961525
75,3.8505833
76,3.8324022
77,3.8450415
78,3.8721983
79,3.8282678
80,3.81066
81,3.8467932
82,3.8050187
83,3.8671236
84,3.9086962
85,3.8767335
86,3.9217658
87,3.887324
88,3.8622339
89,3.856278
90,3.8664384
91,3.7960067
92,3.9135282
93,3.8434632
94,3.8356426
95,3.8237922
96,3.807825
97,3.8364327
98,3.8020825
99,3.8635292
100,3.8476439
101,3.867902
102,3.8230991
103,3.8931167
104,3.8291636
105,3.798658
106,3.8584137
107,3.8687477
108,3.8509114
109,3.8482049
110,3.8471856
111,3.7981749
112,3.8794277
113,3.8637676
114,3.796062
115,3.8877683
116,3.8515074
117,3.8420918
118,3.8648515
119,3.8870795
120,3.9042351
121,3.855822
122,3.8212411
123,3.854121
124,3.903887
125,3.9248009
126,3.7779527
127,3.8822126
128,3.8324869
129,3.8242683
130,3.8370051
131,3.8669217
132,3.79798
133,3.8086946
134,3.8656244
135,3.8626397
136,3.8748665
137,3.777279
138,3.830942
139,3.8473206
140,3.814158
141,3.8656054
142,3.8568642
143,3.8682761
144,3.8986971
145,3.8066802
146,3.8408632
147,3.8259742
148,3.8623135
149,3.8244543
150,3.8448286
151,3.8411865
152,3.8649068
153,3.8460367
154,3.8912988
155,3.8309574
156,3.8583498
157,3.8266413
158,3.7845135
159,3.844038
160,3.8894444
161,3.8605158
162,3.8247511
163,3.966776
164,3.873688
165,3.8431203
166,3.7707453
167,3.8930671
168,3.9073277
169,3.8253317
170,3.8116744
171,3.8153083
172,3.862482
173,3.9052942
174,3.861292
175,3.8435292
176,3.874052
177,3.8887174
178,3.8673086
179,3.823157
180,3.8623457
181,3.79911
182,3.9006546
183,3.8880625
184,3.925713
185,3.8058748
186,3.8181803
187,3.8665245
188,3.839788
189,3.8441975
190,3.954385
191,3.810344
192,3.8506184
193,3.8223891
194,3.8759856
195,3.7839189
196,3.8505545
197,3.811547
198,3.8218884
199,3.8629541
